Дата,Не проиндексировано,Проиндексированные,Показы
2025-11-27,,,8
2025-11-28,,,0
2025-11-29,,,0
2025-11-30,,,7
2025-12-01,,,8
2025-12-02,,,57
2025-12-03,,,7
2025-12-04,,,40
2025-12-05,,,7
2025-12-06,,,35
2025-12-07,,,12
2025-12-08,,,52
2025-12-09,,,12
2025-12-10,,,16
2025-12-11,,,44
2025-12-12,,,17
2025-12-13,,,53
2025-12-14,50,77,27
2025-12-15,65,98,5
2025-12-16,65,98,3
2025-12-17,65,98,10
2025-12-18,65,98,3
2025-12-19,65,98,6
2025-12-20,65,98,11
2025-12-21,65,98,2
2025-12-22,65,98,6
2025-12-23,93,116,7
2025-12-24,93,116,3
2025-12-25,93,116,3
2025-12-26,93,116,9
2025-12-27,93,116,8
2025-12-28,93,116,3
2025-12-29,93,116,13
2025-12-30,93,116,13
2025-12-31,93,116,8
2026-01-01,93,116,4
2026-01-02,93,116,3
2026-01-03,92,117,4
2026-01-04,92,117,7
2026-01-05,92,117,4
2026-01-06,99,110,5
2026-01-07,99,110,31
2026-01-08,99,110,0
2026-01-09,99,110,5
2026-01-10,102,107,7
2026-01-11,102,107,17
2026-01-12,102,107,9
2026-01-13,103,106,4
2026-01-14,103,106,8
2026-01-15,103,106,4
2026-01-16,103,106,5
2026-01-17,103,107,9
2026-01-18,103,107,13
2026-01-19,103,107,10
2026-01-20,107,109,7
2026-01-21,107,109,12
2026-01-22,107,109,15
2026-01-23,107,109,53
2026-01-24,108,113,13
2026-01-25,108,113,10
2026-01-26,108,113,10
2026-01-27,143,120,5
2026-01-28,143,120,10
2026-01-29,143,120,24
2026-01-30,143,120,6
2026-01-31,139,129,22
2026-02-01,139,129,8
2026-02-02,139,129,14
2026-02-03,153,137,11
2026-02-04,153,137,6
2026-02-05,153,137,25
2026-02-06,153,137,104
2026-02-07,177,139,129
2026-02-08,177,139,141
2026-02-09,177,139,221
2026-02-10,181,139,164
2026-02-11,181,139,200
2026-02-12,181,139,308
2026-02-13,181,139,
